School Name,City,State,District Name,2010/11/Award Amount,Model Selected
NEW BRIDGE SCHOOL,RICHMOND,VA,HENRICO CO PBLC SCHS,50000.00,Closure
COLONIAL BEACH HIGH,COLONIAL BEACH,VA,COLONIAL BEACH PBLC SCHS,571500.00,Transformation
ELLEN W. CHAMBLISS ELEM.,WAKEFIELD,VA,SUSSEX CO PBLC SCHS,400000.00,Restart
THOMAS C. BOUSHALL MIDDLE,RICHMOND,VA,RICHMOND CITY PBLC SCHS,613340.00,Restart
RUFFNER MIDDLE,NORFOLK,VA,NORFOLK CITY PBLC SCHS,135542.00,Transformation
VA. RANDOLPH COMM. HIGH,GLEN ALLEN,VA,HENRICO CO PBLC SCHS,50000.00,Closure
JAMES S. RUSSELL MIDDLE,LAWRENCEVILLE,VA,BRUNSWICK CO PBLC SCHS,490820.00,Transformation
SUSSEX CENTRAL MIDDLE,SUSSEX,VA,SUSSEX CO PBLC SCHS,529167.00,Restart
MOUNT ABRAHAM UHSD #28,BRISTOL,VT,MOUNT ABRAHAM UHSD #28,230110.00,Transformation
NORTHFIELD ELEMENTARY SCHOOL,NORTHFIELD,VT,NORTHFIELD SCHOOL DISTRICT,215600.00,Transformation
H. O. WHEELER SCHOOL,BURLINGTON,VT,BURLINGTON SCHOOL DISTRICT,368200.00,Transformation
LAMOILLE UHSD #18,HYDE PARK,VT,LAMOILLE UHSD #18,242458.00,Transformation
WINOOSKI HIGH SCHOOL,WINOOSKI,VT,WINOOSKI SCHOOL DISTRICT,166477.00,Transformation
ST. JOHNSBURY SCHOOL,ST JOHNSBURY,VT,SAINT JOHNSBURY SCHOOL DISTRICT,380045.00,Transformation
JOHNSON ELEMENTARY SCHOOL,JOHNSON,VT,JOHNSON SCHOOL DISTRICT,192559.00,Transformation
WINDSOR HIGH SCHOOL,WINDSOR,VT,WINDSOR SCHOOL DISTRICT,257889.00,Transformation
RUTLAND SENIOR HIGH SCHOOL,RUTLAND,VT,RUTLAND CITY SCHOOL DISTRICT,382364.00,Transformation
FAIR HAVEN UHSD #16,FAIR HAVEN,VT,FAIR HAVEN UHSD #16,314781.00,Transformation
STEWART,TACOMA,WA,TACOMA SCHOOL DISTRICT,152512.00,Turnaround
SUNNYSIDE HIGH SCHOOL,SUNNYSIDE,WA,SUNNYSIDE SCHOOL DISTRICT,162541.00,Transformation
TULALIP ELEMENTARY,MARYSVILLE,WA,MARYSVILLE SCHOOL DISTRICT,734480.00,Turnaround
CASCADE MIDDLE SCHOOL,SEATTLE,WA,HIGHLINE SCHOOL DISTRICT,730000.00,Transformation
ADAMS ELEMENTARY SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,116293.00,Transformation
HAWTHORNE ELEMENTARY SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,533531.00,Transformation
MARYSVILLE MIDDLE SCHOOL,MARYSVILLE,WA,MARYSVILLE SCHOOL DISTRICT,109526.00,Transformation
GRANDVIEW MIDDLE SCHOOL,GRANDVIEW,WA,GRANDVIEW SCHOOL DISTRICT,1055.00,Transformation
WELLPINIT ELEMENTARY SCHOOL,WELLPINIT,WA,WELLPINIT SCHOOL DISTRICT,178996.00,Transformation
JASON LEE,TACOMA,WA,TACOMA SCHOOL DISTRICT,100573.00,Transformation
HIGH POINT ELEMENTARY SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,452925.00,Transformation
MONTICELLO MIDDLE SCHOOL,LONGVIEW,WA,LONGVIEW SCHOOL DISTRICT,515546.00,Transformation
STANTON ALTERNATIVE SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,945312.00,Transformation
ANGELO GIAUDRONE MIDDLE SCHOOL,TACOMA,WA,TACOMA SCHOOL DISTRICT,138656.00,Turnaround
HUNT,TACOMA,WA,TACOMA SCHOOL DISTRICT,95320.00,Closure
CLEVELAND HIGH SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,756677.00,Transformation
CHINOOK MIDDLE SCHOOL,SEATAC,WA,HIGHLINE SCHOOL DISTRICT,730000.00,Transformation
WASHINGTON MIDDLE SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,115268.00,Transformation
FOSTER & WILLIAMS HIGH SCHOOL OF THE VISUAL ARTS,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,5000.00,Closure
DUBOIS HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,5000.00,Closure
CUSTER HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,650093.00,Restart
JAMES MADISON ACADEMIC CAMPUS,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,749320.00,Transformation
VINCENT HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,928024.00,Transformation
BAY VIEW HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,134909.00,Transformation
DOWNTOWN INSTITUTE OF ARTS & LETTERS (DIAL),MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,5000.00,Closure
SOUTH DIVISION HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,124643.00,Transformation
MILWAUKEE AFRICAN AMERICAN IMMERSION HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,567905.00,Restart
WHS LAW EDUCATION & PUBLIC SERVICE,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,5000.00,Closure
BRADLEY TECHNOLOGY HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,1202.00,Transformation
HAMLIN PK-8,HAMLIN,WV,LINCOLN COUNTY SCHOOLS,258600.00,Transformation
RIVERSIDE HIGH SCHOOL,BELLE,WV,KANAWHA COUNTY SCHOOLS,481900.00,Transformation
DODDRIDGE COUNTY ELEMENTARY SCHOOL,WEST UNION,WV,DODDRIDGE COUNTY SCHOOLS,464200.00,Transformation
MOUNT VIEW HIGH SCHOOL,WELCH,WV,MCDOWELL COUNTY SCHOOLS,450000.00,Transformation
WEST HAMLIN ELEMENTARY,WEST HAMLIN,WV,LINCOLN COUNTY SCHOOLS,156660.00,Transformation
MALDEN ELEMENTARY SCHOOL,CHARLESTON,WV,KANAWHA COUNTY SCHOOLS,217598.00,Transformation
MARTINSBURG NORTH MIDDLE SCHOOL,MARTINSBURG,WV,BERKELEY COUNTY SCHOOLS,461690.00,Transformation
SANDY RIVER MIDDLE SCHOOL,AVONDALE,WV,MCDOWELL COUNTY SCHOOLS,370000.00,Transformation
STONEWALL JACKSON MIDDLE SCHOOL,CHARLESTON,WV,KANAWHA COUNTY SCHOOLS,241211.00,Transformation
EAST BANK MIDDLE SCHOOL,EAST BANK,WV,KANAWHA COUNTY SCHOOLS,314618.00,Transformation
FRANKLIN ELEMENTARY CENTER,PARKERSBURG,WV,WOOD COUNTY SCHOOLS,389906.00,Transformation
GUYAN VALLEY MIDDLE,BRANCHLAND,WV,LINCOLN COUNTY SCHOOLS,341250.00,Transformation
CEDAR GROVE MIDDLE SCHOOL,CEDAR GROVE,WV,KANAWHA COUNTY SCHOOLS,211271.00,Transformation
MOUNT HOPE HIGH SCHOOL,MOUNT HOPE,WV,FAYETTE COUNTY SCHOOLS,342189.00,Transformation
GEARY ELEMENTARY SCHOOL,LEFT HAND,WV,ROANE COUNTY SCHOOLS,260000.00,Transformation
TRIUMPH HIGH SCHOOL,CHEYENNE,WY,LARAMIE COUNTY SCHOOL DISTRICT #1,297300.00,Transformation
HEM JUNIOR/SENIOR HIGH SCHOOL,HANNA,WY,CARBON COUNTY SCHOOL DISTRICT #2,274000.00,Transformation
ROOSEVELT HIGH SCHOOL,CASPER,WY,NATRONA COUNTY SCHOOL DISTRICT #1,431382.00,Transformation
